"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","chronic_med_condition","child_under_6_months","health_worker","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","census_msa","household_adults","household_children","h1n1_vaccine"
"22359",2,1,0,1,0,1,1,1,1,0,0,0,0,3,3,4,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"22360",1,1,0,1,0,1,0,0,0,0,0,0,0,4,2,2,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,2,0
"22361",2,2,0,1,0,1,1,1,1,0,0,0,0,5,1,4,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"22362",1,2,0,1,0,1,1,1,1,0,0,0,1,5,2,2,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Principle City",1,1,0
"22364",2,1,0,1,0,1,0,0,1,0,0,0,0,5,2,2,"35 - 44 Years","12 Years","Other or Multiple","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,1,0
"22366",2,2,0,1,0,1,0,0,1,1,0,0,1,5,2,1,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,1
"22367",2,1,0,1,0,1,1,0,1,1,1,0,0,4,4,1,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","Non-MSA",1,2,0
"22368",1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,1,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,0
"22369",2,2,0,0,0,0,0,0,0,0,1,0,1,3,3,1,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,1
"22370",2,1,0,1,0,1,0,1,1,0,1,0,0,5,2,2,"55 - 64 Years","12 Years","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,1
"22371",3,1,0,1,0,1,1,1,1,0,1,0,0,3,2,4,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"22373",2,1,0,0,0,0,1,0,0,0,0,0,0,4,1,4,"45 - 54 Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"22375",2,1,0,0,0,1,1,0,1,0,0,0,0,4,2,2,"18 - 34 Years","12 Years","White","Male","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",2,0,0
"22376",2,2,0,1,0,1,1,1,1,1,0,1,1,5,1,4,"18 - 34 Years","College Graduate","Black","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",0,3,0
"22379",2,2,0,1,0,1,1,0,1,0,0,0,0,4,2,4,"18 - 34 Years","Some College","Hispanic","Male","> $75,000","Not Married","Own","Not in Labor Force","MSA, Principle City",2,0,0
"22380",2,1,0,1,0,1,0,1,1,0,1,1,0,5,4,1,"18 - 34 Years","College Graduate","White","Female","Below Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,3,1
"22384",2,1,0,0,0,1,1,0,0,1,1,0,0,5,5,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"22385",1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"22387",2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,2,"55 - 64 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"22388",2,2,0,1,1,1,0,1,1,0,0,0,0,5,4,2,"35 - 44 Years","Some College","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,1,0
"22389",2,2,0,1,0,1,0,0,1,0,0,0,0,4,2,1,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,1
"22390",3,1,1,1,0,1,1,1,1,0,0,1,0,4,5,5,"45 - 54 Years","< 12 Years","Hispanic","Male","Below Poverty","Married","Own","Employed","MSA, Principle City",1,0,0
"22391",3,1,0,1,0,1,1,1,1,1,0,0,0,5,2,2,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"22392",1,1,0,0,0,1,0,0,1,0,0,1,0,4,1,1,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"22393",1,0,0,1,0,1,1,1,1,0,0,0,0,4,1,2,"18 - 34 Years","College Graduate","Other or Multiple","Male","> $75,000","Not Married","Rent","Employed","MSA, Not Principle  City",1,0,0
"22394",1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,0,0
"22395",3,2,0,1,0,1,0,0,1,0,0,0,1,4,2,2,"45 - 54 Years","Some College","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,0
"22396",2,1,0,1,0,0,0,0,0,0,0,0,0,4,1,1,"18 - 34 Years","College Graduate","Hispanic","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",1,1,0
"22397",3,2,0,1,1,1,0,0,1,0,0,0,0,5,4,5,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,1,1
"22399",1,1,0,0,0,1,0,0,0,0,0,1,0,5,4,4,"18 - 34 Years","< 12 Years","White","Male","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",3,0,1
"22400",1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,"18 - 34 Years","12 Years","White","Female","Below Poverty","Not Married","Rent","Employed","MSA, Principle City",1,3,0
"22402",1,1,0,1,0,1,0,0,1,0,0,0,0,3,2,4,"18 - 34 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"22403",2,1,1,1,0,1,1,1,1,0,1,0,0,3,4,4,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,1
"22406",2,2,0,0,0,1,0,0,0,0,0,1,0,5,2,2,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"22407",3,0,0,1,0,1,0,0,1,0,1,0,0,5,5,5,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,1
"22408",1,1,0,1,0,1,0,0,1,0,0,0,0,3,2,1,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,2,0
"22409",2,1,0,1,0,1,0,0,0,0,1,0,0,4,2,1,"45 - 54 Years","College Graduate","Hispanic","Female","> $75,000","Married","Rent","Employed","MSA, Not Principle  City",1,2,0
"22410",1,2,0,1,1,1,0,0,1,1,1,0,0,5,5,1,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,2,1
"22411",2,2,0,1,0,1,1,1,1,0,0,0,0,4,2,2,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"22412",0,1,0,1,0,1,0,0,1,0,0,0,0,3,4,2,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,1
"22414",3,2,0,1,0,1,0,0,1,0,0,0,0,4,1,2,"45 - 54 Years","College Graduate","Black","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,1,0
"22415",1,1,0,0,0,1,0,0,1,0,0,0,0,4,2,2,"18 - 34 Years","Some College","White","Male","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",1,0,0
"22416",2,1,0,1,0,1,1,1,0,1,1,0,0,5,4,5,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,1
"22417",3,2,0,1,0,1,1,1,1,1,0,0,0,5,5,4,"35 - 44 Years","12 Years","Hispanic","Male","<= $75,000, Above Poverty","Married","Own","Unemployed","MSA, Principle City",3,0,1
"22418",1,2,0,1,0,1,0,0,1,0,0,0,1,5,4,1,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",1,1,1
"22419",1,1,0,0,0,1,0,0,0,0,1,0,0,4,2,1,"35 - 44 Years","12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,1,0
"22420",1,1,0,1,0,1,0,0,1,0,1,1,0,4,4,2,"18 - 34 Years","Some College","White","Female","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",2,0,0
"22421",2,1,0,0,0,1,0,0,0,1,0,0,0,5,2,1,"55 - 64 Years","Some College","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",3,0,0
"22422",0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,"18 - 34 Years","Some College","White","Female","Below Poverty","Married","Rent","Not in Labor Force","MSA, Principle City",1,3,0
"22423",2,1,0,0,0,1,1,1,0,0,0,0,0,4,4,2,"55 - 64 Years","Some College","Black","Male","> $75,000","Married","Own","Employed","MSA, Principle City",3,3,0
"22424",2,2,0,1,0,1,0,0,1,1,0,0,1,5,4,4,"35 - 44 Years","Some College","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,2,1
"22425",2,1,0,0,0,1,0,0,0,0,1,0,0,4,4,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"22426",3,1,0,1,0,1,1,1,1,0,0,0,0,4,2,1,"65+ Years","Some College","Black","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,1,1
"22430",2,1,0,1,0,0,0,1,0,0,1,0,0,4,2,4,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"22431",1,2,0,0,0,1,0,0,1,1,0,1,0,4,4,2,"35 - 44 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,3,1
"22432",2,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"22433",3,2,0,1,0,1,1,1,1,0,0,0,0,5,4,4,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,2,0
"22434",2,2,1,1,0,1,1,1,1,1,1,0,0,5,5,2,"18 - 34 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,1,1
"22435",3,1,1,1,0,1,1,0,1,1,0,0,0,5,2,2,"18 - 34 Years","12 Years","White","Male","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",2,0,0
"22436",2,1,0,1,0,1,0,1,1,0,0,0,0,5,4,4,"45 - 54 Years","Some College","Black","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"22437",2,2,0,1,0,1,0,1,0,0,1,0,0,4,4,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,2,0
"22439",0,1,0,1,0,1,0,0,0,0,0,0,0,5,2,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,1
"22440",0,2,0,0,0,0,0,0,1,0,1,0,0,1,5,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",1,0,0
"22442",2,1,0,1,0,0,0,0,1,0,0,0,0,5,2,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"22443",2,1,0,1,0,1,0,0,1,0,0,0,0,2,1,1,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"22444",1,2,0,0,0,1,1,1,1,0,0,0,1,4,1,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",2,1,0
"22445",3,1,0,1,1,1,1,1,1,0,1,0,0,5,1,5,"35 - 44 Years","< 12 Years","Hispanic","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",1,0,0
"22446",3,2,0,1,1,0,1,1,1,0,0,0,0,5,4,1,"65+ Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"22447",1,1,0,1,0,0,1,1,1,0,0,0,0,2,1,2,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"22449",3,2,0,1,0,1,1,0,1,0,0,0,0,3,4,4,"65+ Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"22450",2,1,0,0,0,0,0,0,0,0,1,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,1,0
"22451",1,0,0,1,0,1,0,0,1,0,0,0,0,4,2,1,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",2,0,0
"22453",1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,2,"45 - 54 Years","Some College","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"22454",2,1,0,1,0,1,0,0,1,0,0,0,0,4,4,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"22455",2,0,0,1,0,0,1,1,1,1,1,0,0,4,1,4,"55 - 64 Years","College Graduate","Black","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,1
"22456",1,1,0,1,0,0,1,1,1,0,1,0,0,4,2,2,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Unemployed","Non-MSA",1,0,0
"22457",0,0,0,1,0,1,0,0,0,1,1,0,0,3,1,1,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"22458",1,1,0,1,0,0,0,0,1,0,1,0,0,4,2,2,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",3,0,0
"22459",1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"22460",1,1,0,1,0,0,0,1,1,0,1,0,0,4,2,1,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"22461",2,1,0,1,0,1,1,1,1,0,1,0,0,4,2,2,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"22463",3,1,0,1,0,1,1,0,1,0,0,0,0,4,2,5,"45 - 54 Years","College Graduate","Black","Female","<= $75,000, Above Poverty","Married","Rent","Employed","Non-MSA",3,0,0
"22464",2,1,0,1,0,1,0,0,1,1,0,0,1,5,5,5,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,1,1
"22465",1,1,0,1,0,1,1,0,1,0,0,0,0,3,2,4,"18 - 34 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",2,2,0
"22466",1,1,0,0,0,1,0,0,1,0,0,0,0,3,1,1,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"22467",2,1,0,1,0,1,0,0,0,0,1,0,0,3,2,2,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,1
"22468",2,2,0,1,0,1,0,0,1,1,1,0,0,4,4,4,"55 - 64 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Employed","Non-MSA",0,0,1
"22470",3,0,0,0,0,1,0,1,0,0,0,0,0,5,4,4,"18 - 34 Years","12 Years","Black","Male","Below Poverty","Not Married","Rent","Unemployed","MSA, Principle City",3,0,0
"22471",1,1,0,1,0,1,1,1,1,1,0,1,0,3,1,1,"65+ Years","College Graduate","White","Female","> $75,000","Not Married","Own","Not in Labor Force","Non-MSA",1,0,0
"22475",2,2,0,0,0,1,0,0,1,0,0,0,0,3,4,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","Non-MSA",2,0,0
"22477",1,1,0,1,0,1,1,1,1,0,0,1,0,4,2,2,"45 - 54 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"22480",2,2,0,0,0,1,0,0,0,1,0,0,0,4,4,1,"35 - 44 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"22481",1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,"45 - 54 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"22482",3,1,0,0,0,1,0,0,1,0,0,0,0,5,4,1,"35 - 44 Years","Some College","Other or Multiple","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,2,0
"22483",2,1,0,0,0,1,1,0,1,0,0,1,0,3,4,5,"65+ Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"22484",2,1,0,1,1,1,1,1,1,0,1,0,1,4,2,2,"45 - 54 Years","Some College","Black","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",2,1,0
"22485",0,1,0,1,0,1,0,0,0,0,0,0,0,4,2,1,"18 - 34 Years","12 Years","Black","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"22486",2,1,0,1,0,1,1,0,1,0,0,0,0,4,2,2,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"22490",3,1,0,1,0,1,1,0,0,0,0,0,0,5,2,4,"45 - 54 Years","Some College","Black","Female","<= $75,000, Above Poverty","Not Married","Rent","Unemployed","Non-MSA",0,0,0
"22492",0,2,0,1,0,0,0,0,0,0,0,0,0,4,1,1,"18 - 34 Years","College Graduate","White","Male","> $75,000","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"22493",1,2,0,0,0,1,0,0,1,0,1,0,0,4,1,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,1
"22494",2,1,0,1,0,1,0,0,0,1,0,0,0,5,3,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,1
"22495",2,2,0,1,0,1,0,0,1,1,0,0,0,5,2,2,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"22496",2,1,0,0,0,1,0,0,0,0,0,0,1,2,1,2,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"22497",3,1,0,0,0,1,0,0,1,0,0,0,0,2,2,2,"55 - 64 Years","12 Years","Hispanic","Female","Below Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"22498",1,2,0,1,0,1,0,0,0,0,0,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,2,0
"22500",1,2,0,1,0,1,1,1,1,0,0,0,1,5,1,1,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"22502",1,2,0,0,1,1,0,0,1,0,1,0,1,4,2,5,"45 - 54 Years","Some College","Black","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"22504",2,2,0,0,0,0,0,0,1,0,0,0,1,5,5,2,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,0
"22506",0,1,0,1,0,1,0,0,1,0,0,0,0,4,1,1,"45 - 54 Years","College Graduate","Hispanic","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",2,1,0
"22508",2,1,0,1,0,1,0,0,1,0,0,0,0,5,2,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"22509",3,1,0,1,0,1,1,0,1,0,0,0,0,5,1,4,"35 - 44 Years","< 12 Years","Hispanic","Female","Below Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,3,1
"22511",2,1,0,0,0,0,0,0,0,0,0,1,0,3,2,4,"18 - 34 Years","< 12 Years","White","Male","Below Poverty","Not Married","Rent","Unemployed","Non-MSA",3,1,0
"22515",0,2,0,0,0,1,0,0,0,0,0,1,0,4,1,1,"35 - 44 Years","< 12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"22516",2,2,0,1,0,1,1,1,1,0,0,0,1,4,2,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,1,0
"22517",3,2,0,1,0,1,1,1,1,0,0,0,1,5,1,1,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,1
"22519",0,0,0,1,0,1,1,0,1,0,0,0,0,2,1,1,"45 - 54 Years","Some College","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"22520",2,1,0,1,0,1,0,0,1,0,1,0,0,4,2,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",2,0,0
"22523",2,2,0,1,0,1,1,1,1,1,0,0,0,5,1,1,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,1
"22524",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"65+ Years","12 Years","Other or Multiple","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"22525",2,1,0,1,0,1,1,1,1,0,0,0,0,4,2,2,"18 - 34 Years","College Graduate","Other or Multiple","Male","Below Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,0,0
"22526",2,1,0,1,0,1,1,1,1,0,0,0,0,3,1,2,"35 - 44 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"22528",2,1,0,1,1,1,1,1,0,1,1,0,0,4,2,4,"35 - 44 Years","Some College","Other or Multiple","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"22529",1,1,0,1,0,1,1,1,1,0,0,0,0,5,2,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"22531",3,1,0,1,0,1,0,0,1,0,0,0,0,4,1,2,"35 - 44 Years","12 Years","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",1,0,0
"22535",0,1,0,1,0,0,1,1,1,0,0,0,0,2,1,1,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",0,0,0
"22536",2,2,0,1,0,1,0,0,1,1,1,0,0,5,5,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",3,0,1
"22537",3,2,0,1,0,1,1,1,1,1,1,0,0,3,2,4,"35 - 44 Years","12 Years","Hispanic","Male","Below Poverty","Married","Own","Unemployed","Non-MSA",2,3,1
"22540",2,1,0,1,0,1,0,0,1,0,0,0,0,4,1,1,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"22541",3,1,0,1,0,1,1,1,1,0,1,0,0,4,2,5,"55 - 64 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"22542",0,1,0,1,0,1,0,0,0,0,0,0,0,4,1,1,"18 - 34 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",2,0,0
"22544",3,1,0,1,1,1,1,1,0,0,1,0,0,5,4,5,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,1,0
"22546",2,2,0,1,0,1,0,1,1,0,0,0,0,5,2,2,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",2,1,0
"22548",1,1,0,0,0,0,0,1,1,1,1,0,0,2,1,4,"65+ Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"22549",2,1,0,1,0,1,1,1,1,0,1,0,0,4,4,4,"55 - 64 Years","12 Years","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","Non-MSA",1,0,0
"22550",2,1,0,0,0,1,0,0,0,0,0,0,0,4,2,4,"35 - 44 Years","College Graduate","Other or Multiple","Male","> $75,000","Married","Rent","Employed","MSA, Not Principle  City",1,1,1
"22551",2,2,0,1,0,1,0,0,0,0,0,1,0,4,1,4,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"22554",1,1,0,0,0,0,0,0,0,1,0,0,0,4,2,1,"45 - 54 Years","Some College","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,1
"22555",2,1,0,1,1,1,1,1,1,0,1,0,0,4,2,4,"65+ Years","12 Years","White","Female","Below Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"22556",3,0,0,1,0,1,1,1,1,0,0,0,0,3,1,3,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"22558",1,1,0,1,1,1,1,1,0,0,0,0,0,5,1,4,"18 - 34 Years","College Graduate","Hispanic","Male","Below Poverty","Married","Rent","Employed","MSA, Not Principle  City",3,0,1
"22559",2,1,0,1,0,1,1,1,1,0,0,0,0,4,2,2,"45 - 54 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,1,0
"22560",3,1,0,1,0,1,0,0,0,0,0,0,0,5,2,1,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
